,method,step,range,host,mean,std
924,CF4,1e-07,"(0.1,0.3)",host#ea9ebc36,6.591949208711867e-17,0.12112370144011579
1044,CF4,1e-07,"(0.1,0.3)",host#fe823726,1.249000902703301e-16,0.17786010971102753
3,CF4,1e-06,"(0.1,0.15)",host#053336e2,-3.7470027081099036e-17,0.1726544455513754
123,CF4,1e-06,"(0.1,0.15)",host#2a9a8c7d,-9.43689570931383e-17,0.2551205161598856
243,CF4,1e-06,"(0.1,0.15)",host#2ea82f5c,-4.9960036108132046e-17,0.2644683267650821
363,CF4,1e-06,"(0.1,0.15)",host#b1a00ec8,2.914335439641036e-17,0.16790741132359877
483,CF4,1e-06,"(0.1,0.15)",host#b9ec88ad,1.0963452368173421e-16,0.3105691330663626
603,CF4,1e-06,"(0.1,0.15)",host#e0324c47,7.771561172376095e-17,0.30259528873390074
723,CF4,1e-06,"(0.1,0.15)",host#e739d7ed,5.551115123125783e-18,0.31996002948475866
843,CF4,1e-06,"(0.1,0.15)",host#ea9ebc36,-4.4408920985006264e-17,0.3062331319849051
963,CF4,1e-06,"(0.1,0.15)",host#fe823726,-1.0547118733938987e-16,0.21958902091635038
43,CF4,1e-06,"(0.1,0.2)",host#053336e2,-2.7755575615628915e-18,0.09603395811356698
163,CF4,1e-06,"(0.1,0.2)",host#2a9a8c7d,8.881784197001253e-17,0.19963469993679006
283,CF4,1e-06,"(0.1,0.2)",host#2ea82f5c,-1.5057399771478685e-16,0.26160058266432934
403,CF4,1e-06,"(0.1,0.2)",host#b1a00ec8,5.620504062164855e-17,0.15891755615221678
523,CF4,1e-06,"(0.1,0.2)",host#b9ec88ad,-1.1102230246251566e-17,0.281313630549973
643,CF4,1e-06,"(0.1,0.2)",host#e0324c47,3.8857805861880476e-17,0.26054827034394473
763,CF4,1e-06,"(0.1,0.2)",host#e739d7ed,7.771561172376095e-17,0.27877442652556744
883,CF4,1e-06,"(0.1,0.2)",host#ea9ebc36,-3.608224830031759e-17,0.16831622776535882
1003,CF4,1e-06,"(0.1,0.2)",host#fe823726,1.2212453270876723e-16,0.31371570957950473
83,CF4,1e-06,"(0.1,0.3)",host#053336e2,9.43689570931383e-17,0.11476873634975737
203,CF4,1e-06,"(0.1,0.3)",host#2a9a8c7d,4.926614671774132e-17,0.17780149887807298
323,CF4,1e-06,"(0.1,0.3)",host#2ea82f5c,1.1657341758564144e-16,0.24100820507077914
443,CF4,1e-06,"(0.1,0.3)",host#b1a00ec8,1.2490009027033011e-17,0.13024912738638364
563,CF4,1e-06,"(0.1,0.3)",host#b9ec88ad,-4.163336342344337e-18,0.2709059882366612
683,CF4,1e-06,"(0.1,0.3)",host#e0324c47,5.551115123125783e-17,0.27982800789484963
803,CF4,1e-06,"(0.1,0.3)",host#e739d7ed,-2.2204460492503132e-17,0.2226809882487247
923,CF4,1e-06,"(0.1,0.3)",host#ea9ebc36,1.6653345369377347e-17,0.2593324669762255
1043,CF4,1e-06,"(0.1,0.3)",host#fe823726,3.3306690738754695e-17,0.3063789569616379
2,CF4,1e-05,"(0.1,0.15)",host#053336e2,-1.8735013540549518e-17,0.016190861632474948
122,CF4,1e-05,"(0.1,0.15)",host#2a9a8c7d,1.457167719820518e-17,0.2408039477967016
242,CF4,1e-05,"(0.1,0.15)",host#2ea82f5c,-5.2735593669694933e-17,0.354346961285646
362,CF4,1e-05,"(0.1,0.15)",host#b1a00ec8,-7.077671781985372e-17,0.19170577113967266
482,CF4,1e-05,"(0.1,0.15)",host#b9ec88ad,7.216449660063518e-17,0.33464712648647305
602,CF4,1e-05,"(0.1,0.15)",host#e0324c47,-9.43689570931383e-17,0.3123959982833501
722,CF4,1e-05,"(0.1,0.15)",host#e739d7ed,-1.0547118733938987e-16,0.2969780939902597
842,CF4,1e-05,"(0.1,0.15)",host#ea9ebc36,2.7755575615628914e-17,0.3404567787960016
962,CF4,1e-05,"(0.1,0.15)",host#fe823726,9.992007221626409e-17,0.3455074163643822
42,CF4,1e-05,"(0.1,0.2)",host#053336e2,8.326672684688674e-17,0.1463422633997153
162,CF4,1e-05,"(0.1,0.2)",host#2a9a8c7d,5.2735593669694933e-17,0.17042018094962313
282,CF4,1e-05,"(0.1,0.2)",host#2ea82f5c,-2.0816681711721685e-17,0.29706370093119805
402,CF4,1e-05,"(0.1,0.2)",host#b1a00ec8,-8.777700788442644e-17,0.05447252846938243
522,CF4,1e-05,"(0.1,0.2)",host#b9ec88ad,-2.7755575615628914e-17,0.33699158866201734
642,CF4,1e-05,"(0.1,0.2)",host#e0324c47,1.7763568394002506e-16,0.30071470397885974
762,CF4,1e-05,"(0.1,0.2)",host#e739d7ed,1.942890293094024e-16,0.32815451883199187
882,CF4,1e-05,"(0.1,0.2)",host#ea9ebc36,4.4408920985006264e-17,0.27239209273891424
1002,CF4,1e-05,"(0.1,0.2)",host#fe823726,-1.4432899320127036e-16,0.3311370879206648
82,CF4,1e-05,"(0.1,0.3)",host#053336e2,-1.3877787807814457e-17,0.18515061392554139
202,CF4,1e-05,"(0.1,0.3)",host#2a9a8c7d,-5.551115123125783e-18,0.21217066928377212
322,CF4,1e-05,"(0.1,0.3)",host#2ea82f5c,2.1926904736346843e-16,0.25279942621628576
442,CF4,1e-05,"(0.1,0.3)",host#b1a00ec8,0.0,0.12923376041969992
562,CF4,1e-05,"(0.1,0.3)",host#b9ec88ad,-1.554312234475219e-16,0.3363130576658326
682,CF4,1e-05,"(0.1,0.3)",host#e0324c47,9.992007221626409e-17,0.2947220212974895
802,CF4,1e-05,"(0.1,0.3)",host#e739d7ed,5.551115123125783e-17,0.3360894335429248
922,CF4,1e-05,"(0.1,0.3)",host#ea9ebc36,1.3877787807814457e-17,0.23928794716177298
1042,CF4,1e-05,"(0.1,0.3)",host#fe823726,-1.3600232051658169e-16,0.34685660818744096
0,CF4,0.0001,"(0.1,0.15)",host#053336e2,-5.655198531684391e-17,0.020140273192723646
120,CF4,0.0001,"(0.1,0.15)",host#2a9a8c7d,4.2934406030425976e-17,0.007627318643535383
240,CF4,0.0001,"(0.1,0.15)",host#2ea82f5c,-1.7347234759768072e-19,0.00617160623967652
360,CF4,0.0001,"(0.1,0.15)",host#b1a00ec8,2.2239154962022665e-16,0.021537769260162334
480,CF4,0.0001,"(0.1,0.15)",host#b9ec88ad,1.7347234759768072e-19,0.00417890418608481
600,CF4,0.0001,"(0.1,0.15)",host#e0324c47,4.824699667560495e-17,0.012173025473550331
720,CF4,0.0001,"(0.1,0.15)",host#e739d7ed,6.591949208711867e-17,0.014987552847024813
840,CF4,0.0001,"(0.1,0.15)",host#ea9ebc36,0.0,0.02472647825424429
960,CF4,0.0001,"(0.1,0.15)",host#fe823726,6.617970060851519e-17,0.004455941585332029
40,CF4,0.0001,"(0.1,0.2)",host#053336e2,-4.718447854656915e-17,0.18636634476060718
160,CF4,0.0001,"(0.1,0.2)",host#2a9a8c7d,1.1518563880486e-16,0.021395016144827306
280,CF4,0.0001,"(0.1,0.2)",host#2ea82f5c,6.895525817007808e-17,0.002333648155016354
400,CF4,0.0001,"(0.1,0.2)",host#b1a00ec8,7.771561172376095e-17,0.22565368593777102
520,CF4,0.0001,"(0.1,0.2)",host#b9ec88ad,1.0096090630185018e-16,0.010150280372641199
640,CF4,0.0001,"(0.1,0.2)",host#e0324c47,-6.55725473919233e-17,0.015292018431845819
760,CF4,0.0001,"(0.1,0.2)",host#e739d7ed,-5.013350845572972e-17,0.011138479455953407
880,CF4,0.0001,"(0.1,0.2)",host#ea9ebc36,-1.8041124150158794e-17,0.005979038828495769
1000,CF4,0.0001,"(0.1,0.2)",host#fe823726,5.033950686850197e-17,0.004388042960097776
80,CF4,0.0001,"(0.1,0.3)",host#053336e2,1.4224732503009818e-16,0.08839168407478838
200,CF4,0.0001,"(0.1,0.3)",host#2a9a8c7d,-4.371503159461554e-17,0.010056575731405702
320,CF4,0.0001,"(0.1,0.3)",host#2ea82f5c,4.9960036108132046e-17,0.6213009430629352
